sample,p_cmd,p_out,v_cmd,v_out,t_out,kp,kd,position_error,velocity_error
0,0.0000,0.1238,0.0000,-0.0122,-0.0159,20.00,3.00,-0.1238,0.0122
1,0.0212,0.0025,0.2500,0.9402,0.7460,40.00,3.00,0.0187,-0.6902
2,0.0468,0.0223,0.2500,1.3065,1.0635,40.00,3.00,0.0245,-1.0565
3,0.0725,0.0456,0.2500,1.9902,0.8413,40.00,3.00,0.0269,-1.7402
4,0.0980,0.0689,0.2500,2.1123,0.8413,40.00,3.00,0.0291,-1.8623
5,0.1237,0.0929,0.2500,2.4786,0.6825,40.00,3.00,0.0308,-2.2286
6,0.1492,0.1204,0.2500,2.3077,0.6508,40.00,3.00,0.0288,-2.0577
7,0.1750,0.1474,0.2500,2.3077,0.8413,40.00,3.00,0.0276,-2.0577
8,0.2005,0.1722,0.2500,2.1612,0.7778,40.00,3.00,0.0283,-1.9112
9,0.2262,0.1959,0.2500,1.6972,1.5397,40.00,3.00,0.0303,-1.4472
10,0.2517,0.2203,0.2500,2.1856,1.3175,40.00,3.00,0.0314,-1.9356
11,0.2775,0.2451,0.2500,1.8437,1.1905,40.00,3.00,0.0324,-1.5937
12,0.3030,0.2699,0.2500,2.0635,1.2222,40.00,3.00,0.0331,-1.8135
13,0.3288,0.2993,0.2500,3.0647,0.4603,40.00,3.00,0.0295,-2.8147
14,0.3543,0.3298,0.2500,2.7473,0.2381,40.00,3.00,0.0245,-2.4973
15,0.3800,0.3569,0.2500,1.7949,0.5873,40.00,3.00,0.0231,-1.5449
16,0.4055,0.3820,0.2500,2.1612,0.5873,40.00,3.00,0.0235,-1.9112
17,0.4313,0.4076,0.2500,1.9902,0.0794,40.00,3.00,0.0237,-1.7402
18,0.4570,0.4339,0.2500,2.2833,0.3333,40.00,3.00,0.0231,-2.0333
19,0.4825,0.4595,0.2500,2.4542,0.1111,40.00,3.00,0.0230,-2.2042
20,0.5083,0.4854,0.2500,1.9170,0.5238,40.00,3.00,0.0229,-1.6670
21,0.5338,0.5106,0.2500,2.0635,0.2381,40.00,3.00,0.0232,-1.8135
22,0.5595,0.5362,0.2500,1.6484,0.5556,40.00,3.00,0.0233,-1.3984
23,0.5850,0.5617,0.2500,2.1612,0.5873,40.00,3.00,0.0233,-1.9112
24,0.6108,0.5873,0.2500,1.8926,0.5556,40.00,3.00,0.0235,-1.6426
25,0.6362,0.6125,0.2500,2.1123,0.2381,40.00,3.00,0.0237,-1.8623
26,0.6620,0.6384,0.2500,2.0391,0.3968,40.00,3.00,0.0236,-1.7891
27,0.6875,0.6643,0.2500,2.4786,0.2381,40.00,3.00,0.0232,-2.2286
28,0.7132,0.6903,0.2500,2.4542,0.3016,40.00,3.00,0.0229,-2.2042
29,0.7387,0.7155,0.2500,1.7705,0.4921,40.00,3.00,0.0232,-1.5205
30,0.7645,0.7410,0.2500,1.9414,0.4603,40.00,3.00,0.0235,-1.6914
31,0.7902,0.7670,0.2500,2.1856,0.4286,40.00,3.00,0.0232,-1.9356
32,0.8157,0.7929,0.2500,2.2833,0.2381,40.00,3.00,0.0228,-2.0333
33,0.8415,0.8185,0.2500,1.9414,0.3968,40.00,3.00,0.0230,-1.6914
34,0.8670,0.8440,0.2500,2.4298,0.1429,40.00,3.00,0.0230,-2.1798
35,0.8927,0.8696,0.2500,2.2344,0.4286,40.00,3.00,0.0231,-1.9844
36,0.9182,0.8955,0.2500,2.0391,0.3016,40.00,3.00,0.0227,-1.7891
37,0.9440,0.9211,0.2500,1.6484,0.5556,40.00,3.00,0.0229,-1.3984
38,0.9695,0.9463,0.2500,1.9658,0.4286,40.00,3.00,0.0232,-1.7158
39,0.9952,0.9718,0.2500,1.8437,0.4286,40.00,3.00,0.0234,-1.5937
40,1.0210,0.9981,0.2500,2.1123,0.2698,40.00,3.00,0.0229,-1.8623
41,1.0465,1.0229,0.2500,2.2100,0.4603,40.00,3.00,0.0236,-1.9600
42,1.0722,1.0492,0.2500,2.1123,0.2698,40.00,3.00,0.0230,-1.8623
43,1.0977,1.0740,0.2500,1.9658,0.3016,40.00,3.00,0.0237,-1.7158
44,1.1235,1.1004,0.2500,1.9170,0.6825,40.00,3.00,0.0231,-1.6670
45,1.1490,1.1255,0.2500,1.9902,0.3968,40.00,3.00,0.0235,-1.7402
46,1.1747,1.1515,0.2500,2.0391,0.6190,40.00,3.00,0.0232,-1.7891
47,1.2005,1.1774,0.2500,2.1368,0.1746,40.00,3.00,0.0231,-1.8868
48,1.2262,1.2026,0.2500,2.0879,0.6190,40.00,3.00,0.0236,-1.8379
49,1.2520,1.2293,0.2500,2.1368,0.3333,40.00,3.00,0.0227,-1.8868
50,1.2775,1.2545,0.2500,2.2833,0.3016,40.00,3.00,0.0230,-2.0333
51,1.3032,1.2804,0.2500,1.7949,0.7143,40.00,3.00,0.0228,-1.5449
52,1.3287,1.3056,0.2500,2.0147,0.4921,40.00,3.00,0.0231,-1.7647
53,1.3544,1.3312,0.2500,1.5751,0.5873,40.00,3.00,0.0232,-1.3251
54,1.3799,1.3567,0.2500,1.7705,0.4603,40.00,3.00,0.0232,-1.5205
55,1.4057,1.3827,0.2500,2.3321,0.6825,40.00,3.00,0.0230,-2.0821
56,1.4314,1.4086,0.2500,2.3077,0.1746,40.00,3.00,0.0228,-2.0577
57,1.4569,1.4338,0.2500,1.9414,0.5238,40.00,3.00,0.0231,-1.6914
58,1.4827,1.4597,0.2500,1.7460,0.1111,40.00,3.00,0.0230,-1.4960
59,1.5082,1.4849,0.2500,1.8193,0.6825,40.00,3.00,0.0233,-1.5693
60,1.5339,1.5108,0.2500,2.0635,0.3016,40.00,3.00,0.0231,-1.8135
61,1.5594,1.5352,0.2500,1.9170,0.7143,40.00,3.00,0.0242,-1.6670
62,1.5550,1.5520,-0.2500,0.1099,0.0159,40.00,3.00,0.0030,-0.3599
63,1.5293,1.5486,-0.2500,-1.4530,-0.8413,40.00,3.00,-0.0193,1.2030
64,1.5038,1.5257,-0.2500,-2.3810,-0.3016,40.00,3.00,-0.0219,2.1310
65,1.4780,1.5005,-0.2500,-1.9658,-0.6190,40.00,3.00,-0.0225,1.7158
66,1.4525,1.4746,-0.2500,-2.1368,-0.7460,40.00,3.00,-0.0221,1.8868
67,1.4268,1.4487,-0.2500,-1.8437,-0.4603,40.00,3.00,-0.0219,1.5937
68,1.4013,1.4227,-0.2500,-2.6740,-0.3016,40.00,3.00,-0.0214,2.4240
69,1.3755,1.3975,-0.2500,-1.6239,-0.4286,40.00,3.00,-0.0220,1.3739
70,1.3498,1.3712,-0.2500,-2.2833,-0.2698,40.00,3.00,-0.0214,2.0333
71,1.3243,1.3460,-0.2500,-2.3565,-0.3968,40.00,3.00,-0.0217,2.1065
72,1.2985,1.3205,-0.2500,-2.3077,-0.4603,40.00,3.00,-0.0220,2.0577
73,1.2730,1.2953,-0.2500,-2.0635,-0.3333,40.00,3.00,-0.0223,1.8135
74,1.2473,1.2694,-0.2500,-1.8437,-0.7143,40.00,3.00,-0.0221,1.5937
75,1.2218,1.2442,-0.2500,-2.1123,-0.4921,40.00,3.00,-0.0224,1.8623
76,1.1960,1.2182,-0.2500,-2.2100,-0.3016,40.00,3.00,-0.0222,1.9600
77,1.1703,1.1919,-0.2500,-2.6740,-0.1429,40.00,3.00,-0.0216,2.4240
78,1.1448,1.1664,-0.2500,-2.2833,-0.3333,40.00,3.00,-0.0216,2.0333
79,1.1190,1.1400,-0.2500,-2.6740,-0.4603,40.00,3.00,-0.0210,2.4240
80,1.0935,1.1149,-0.2500,-1.5263,-0.9365,40.00,3.00,-0.0214,1.2763
81,1.0678,1.0897,-0.2500,-1.5995,-0.4603,40.00,3.00,-0.0219,1.3495
82,1.0420,1.0637,-0.2500,-2.0147,-0.5556,40.00,3.00,-0.0217,1.7647
83,1.0165,1.0386,-0.2500,-1.8193,-0.3016,40.00,3.00,-0.0221,1.5693
