sample,CAN_ID,RX_ID,LEN,Motor_ID_byte,p_out_rad,v_out_rad_s,t_out_Nm,p_cmd_rad,v_cmd_rad_s,kp,kd,raw_bytes
1,2,2,8,2,1.2888,-2.1612,-0.7143,1.2775,-0.2500,80.00,3.00,02 8D 32 7A 77 E9
2,2,2,8,2,1.2633,-2.2589,-0.1429,1.2520,-0.2500,80.00,3.00,02 8C EF 7A 37 FB
3,2,2,8,2,1.2373,-1.7949,-0.3333,1.2263,-0.2500,80.00,3.00,02 8C AB 7B 67 F5
4,2,2,8,2,1.2114,-2.5031,-0.1429,1.2008,-0.2500,80.00,3.00,02 8C 67 79 97 FB
5,2,2,8,2,1.1854,-2.4054,-0.3651,1.1750,-0.2500,80.00,3.00,02 8C 23 79 D7 F4
6,2,2,8,2,1.1599,-1.8681,-0.4603,1.1495,-0.2500,80.00,3.00,02 8B E0 7B 37 F1
7,2,2,8,2,1.1347,-1.8437,-0.6190,1.1238,-0.2500,80.00,3.00,02 8B 9E 7B 47 EC
8,2,2,8,2,1.1091,-1.7460,-0.4921,1.0983,-0.2500,80.00,3.00,02 8B 5B 7B 87 F0
9,2,2,8,2,1.0836,-2.5763,-0.3016,1.0725,-0.2500,80.00,3.00,02 8B 18 79 67 F6
10,2,2,8,2,1.0576,-2.3321,-0.3968,1.0470,-0.2500,80.00,3.00,02 8A D4 7A 07 F3
11,2,2,8,2,1.0317,-2.4786,-0.1746,1.0213,-0.2500,80.00,3.00,02 8A 90 79 A7 FA
12,2,2,8,2,1.0065,-2.5763,-0.3651,0.9958,-0.2500,80.00,3.00,02 8A 4E 79 67 F4
13,2,2,8,2,0.9806,-2.0147,-0.4286,0.9700,-0.2500,80.00,3.00,02 8A 0A 7A D7 F2
14,2,2,8,2,0.9554,-1.4530,-0.8730,0.9445,-0.2500,80.00,3.00,02 89 C8 7C 47 E4
15,2,2,8,2,0.9298,-1.7460,-0.5238,0.9188,-0.2500,80.00,3.00,02 89 85 7B 87 EF
16,2,2,8,2,0.9043,-1.9902,-0.6190,0.8930,-0.2500,80.00,3.00,02 89 42 7A E7 EC
